#
# 3-day summary product time series for missouriozarks
#
# Site: missouriozarks
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 38.7441
# Lon: -92.2
# Elev: 219
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2018-05-07
# Creation Time: 20:45:40
# Update Date: 2020-08-19
# Update Time: 05:30:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2012-03-05,2012,65,25,missouriozarks_2012_03_05_133111.jpg,164.89826,154.27575,136.30253,0.33871,0.36203,177.36968,14.85853,161.48087,14.74451,137.09145,14.97203,0.33930,0.00044,0.33926,0.33953,0.33992,0.37301,0.00834,0.37294,0.37932,0.38312,45.90021,NA,NA,NA,NA,NA
2012-03-08,2012,68,56,missouriozarks_2012_03_08_120109.jpg,180.30505,167.52100,149.69961,0.33671,0.36240,176.69070,12.94081,166.31228,13.88291,150.40362,16.87753,0.33712,0.00222,0.33725,0.33865,0.33969,0.35860,0.01101,0.35760,0.36432,0.37272,47.05793,NA,NA,NA,NA,NA
2012-03-11,2012,71,55,missouriozarks_2012_03_11_120110.jpg,174.31419,168.09477,156.40725,0.33699,0.34946,176.84919,16.52333,166.01824,18.19564,147.97052,22.55411,0.33833,0.00294,0.33898,0.34023,0.34094,0.36127,0.01494,0.35949,0.37417,0.37919,48.22144,NA,NA,NA,NA,NA
2012-03-14,2012,74,56,missouriozarks_2012_03_14_120112.jpg,151.77581,137.87241,114.99423,0.34073,0.37509,180.19522,18.09024,169.31885,20.21301,148.52159,24.39969,0.34008,0.00123,0.34008,0.34117,0.34159,0.36300,0.01576,0.36021,0.37587,0.38278,49.38819,NA,NA,NA,NA,NA
2012-03-17,2012,77,59,missouriozarks_2012_03_17_120112.jpg,165.72421,161.74534,156.71403,0.33406,0.34228,176.19507,20.75740,165.96863,21.94731,146.02128,23.69038,0.33983,0.00378,0.34079,0.34162,0.34217,0.36173,0.01492,0.36118,0.36928,0.38135,50.55497,NA,NA,NA,NA,NA
2012-03-20,2012,80,58,missouriozarks_2012_03_20_120111.jpg,164.98656,147.78999,117.13767,0.34377,0.38377,182.57708,9.91648,172.98499,12.18788,148.73704,15.95076,0.34308,0.00178,0.34325,0.34416,0.34503,0.36266,0.01158,0.36109,0.36855,0.37908,51.72598,NA,NA,NA,NA,NA
2012-03-23,2012,83,59,missouriozarks_2012_03_23_120112.jpg,186.64811,177.98717,153.08245,0.34379,0.36052,186.81297,15.74871,176.26801,18.44128,149.06262,22.68263,0.34434,0.00248,0.34469,0.34630,0.34686,0.36584,0.01239,0.36808,0.37486,0.38107,52.92219,NA,NA,NA,NA,NA
2012-03-26,2012,86,57,missouriozarks_2012_03_26_120112.jpg,190.70095,177.90952,141.42793,0.34882,0.37390,191.98124,17.45771,178.23852,20.11599,142.20335,25.45104,0.34816,0.00313,0.34882,0.34983,0.35212,0.37607,0.01413,0.37918,0.38860,0.39160,54.11225,NA,NA,NA,NA,NA
2012-03-29,2012,89,61,missouriozarks_2012_03_29_120923.jpg,195.70257,184.63551,136.53148,0.35722,0.37863,195.12321,14.03709,182.39903,17.79490,136.18522,24.68969,0.35545,0.00448,0.35606,0.35788,0.36168,0.38139,0.01676,0.38710,0.39594,0.39768,55.29258,NA,NA,NA,NA,NA
2012-04-01,2012,92,57,missouriozarks_2012_04_01_120115.jpg,179.45609,170.46040,109.63646,0.37093,0.39050,191.90116,16.18668,184.42395,18.49922,129.47922,28.41297,0.36562,0.00874,0.36665,0.37205,0.37649,0.38115,0.01479,0.38877,0.39241,0.39426,56.46037,NA,NA,NA,NA,NA
2012-04-04,2012,95,63,missouriozarks_2012_04_04_120111.jpg,186.19303,188.09595,118.26872,0.38188,0.37801,194.69616,13.56408,201.70937,14.52277,145.30327,22.16081,0.37304,0.00811,0.37372,0.37655,0.38403,0.36024,0.01153,0.36008,0.36626,0.37598,57.61267,NA,NA,NA,NA,NA
2012-04-07,2012,98,55,missouriozarks_2012_04_07_120109.jpg,190.43752,197.80863,124.33721,0.38591,0.37152,188.81063,14.30674,189.78802,17.39887,124.70836,26.32847,0.37808,0.00968,0.37801,0.38560,0.39051,0.37683,0.01549,0.37643,0.39233,0.39548,58.74806,NA,NA,NA,NA,NA
2012-04-10,2012,101,61,missouriozarks_2012_04_10_120112.jpg,122.13100,120.55292,63.62866,0.39356,0.39871,133.44994,25.33893,130.39248,26.61959,76.34447,29.45154,0.38530,0.00936,0.38692,0.39079,0.39468,0.39515,0.01315,0.39797,0.40267,0.40481,59.86375,NA,NA,NA,NA,NA
2012-04-13,2012,104,62,missouriozarks_2012_04_13_120111.jpg,89.44525,96.50255,60.59468,0.39142,0.36280,117.88987,8.19465,121.78364,8.23927,73.57898,11.45931,0.38899,0.01063,0.39098,0.39460,0.39984,0.37689,0.01949,0.37830,0.39285,0.40109,60.95595,NA,NA,NA,NA,NA
2012-04-16,2012,107,69,missouriozarks_2012_04_16_120112.jpg,105.67660,111.48214,57.09296,0.40650,0.38533,117.34878,19.11429,125.57406,18.25587,74.85389,29.36549,0.39813,0.01535,0.40125,0.40546,0.40855,0.37172,0.01855,0.37970,0.38500,0.38880,62.02454,NA,NA,NA,NA,NA
2012-04-19,2012,110,68,missouriozarks_2012_04_19_120110.jpg,98.73440,103.67355,51.66577,0.40805,0.38861,108.89696,8.09915,117.30764,7.95476,63.71142,7.82934,0.40494,0.00722,0.40620,0.41127,0.41272,0.37589,0.01227,0.37782,0.38625,0.39026,63.06407,NA,NA,NA,NA,NA
2012-04-22,2012,113,65,missouriozarks_2012_04_22_120110.jpg,96.50125,107.59789,61.02352,0.40584,0.36399,109.56629,8.93549,117.27214,8.28480,66.50964,10.45831,0.40051,0.01107,0.40094,0.40836,0.41421,0.37393,0.01042,0.37300,0.38097,0.38865,64.07337,NA,NA,NA,NA,NA
2012-04-25,2012,116,64,missouriozarks_2012_04_25_120113.jpg,97.16008,102.01202,53.68566,0.40344,0.38425,105.15645,9.50972,111.01468,8.20691,65.37069,8.92717,0.39491,0.00782,0.39594,0.40027,0.40374,0.37366,0.00936,0.37395,0.38004,0.38494,65.05050,NA,NA,NA,NA,NA
2012-04-28,2012,119,65,missouriozarks_2012_04_28_120110.jpg,99.14970,113.23143,68.60294,0.40298,0.35287,102.94687,10.85656,115.19637,12.67908,79.18789,19.08683,0.38871,0.01248,0.39342,0.39740,0.39949,0.34794,0.01892,0.35488,0.36231,0.36677,65.99226,NA,NA,NA,NA,NA
2012-05-01,2012,122,23,missouriozarks_2012_04_30_180108.jpg,98.45083,112.14202,73.30052,0.39501,0.34679,102.65551,7.46724,115.30871,8.61717,75.26703,11.31101,0.39384,0.00831,0.39501,0.40102,0.40258,0.35069,0.00833,0.35005,0.35957,0.35999,66.29794,NA,NA,NA,NA,NA
2012-05-04,2012,125,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-07,2012,128,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-10,2012,131,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-13,2012,134,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-16,2012,137,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-19,2012,140,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-22,2012,143,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-25,2012,146,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-28,2012,149,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-31,2012,152,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-03,2012,155,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-06,2012,158,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-09,2012,161,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-12,2012,164,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-15,2012,167,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-18,2012,170,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-21,2012,173,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-24,2012,176,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-27,2012,179,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-30,2012,182,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,2012,185,41,missouriozarks_2012_07_03_120922.jpg,83.58833,88.94028,55.10841,0.39071,0.36720,94.17959,10.49650,99.19063,9.90307,65.46996,10.74809,0.38385,0.00828,0.38385,0.39052,0.39318,0.36417,0.01166,0.36750,0.37433,0.37569,74.11602,NA,NA,NA,NA,NA
2012-07-06,2012,188,61,missouriozarks_2012_07_06_120111.jpg,88.07049,93.67951,58.47312,0.38997,0.36662,97.95688,11.13396,102.96298,10.19766,71.48313,12.07493,0.37871,0.00788,0.37941,0.38290,0.38833,0.36012,0.01597,0.35939,0.37295,0.37930,73.62849,NA,NA,NA,NA,NA
2012-07-09,2012,191,77,missouriozarks_2012_07_09_120109.jpg,84.92330,92.31816,57.07918,0.39398,0.36242,96.09448,18.15120,103.30148,16.99823,73.11585,19.74351,0.38095,0.01105,0.38293,0.38712,0.39431,0.35341,0.01186,0.35356,0.36233,0.36732,73.39355,NA,NA,NA,NA,NA
2012-07-12,2012,194,72,missouriozarks_2012_07_12_120110.jpg,83.15982,90.48275,58.79818,0.38927,0.35777,93.01874,12.96015,101.75288,12.28815,72.67067,14.02336,0.38149,0.00937,0.38268,0.38882,0.39164,0.34825,0.01429,0.34644,0.35911,0.36381,72.99600,NA,NA,NA,NA,NA
2012-07-15,2012,197,73,missouriozarks_2012_07_15_120110.jpg,86.08363,92.32078,56.31239,0.39333,0.36676,95.83912,13.16853,102.95739,12.62425,72.62459,15.87675,0.38073,0.01023,0.38159,0.38766,0.39322,0.35407,0.01289,0.35748,0.36519,0.36941,72.54481,NA,NA,NA,NA,NA
2012-07-18,2012,200,66,missouriozarks_2012_07_18_120110.jpg,101.06905,111.12005,76.00665,0.38557,0.35070,96.46697,9.71377,103.10554,9.81115,70.83761,12.29141,0.38203,0.00833,0.38225,0.38667,0.39301,0.35749,0.01412,0.36277,0.36938,0.37221,72.04061,NA,NA,NA,NA,NA
2012-07-21,2012,203,68,missouriozarks_2012_07_21_120109.jpg,87.09565,94.06081,60.55137,0.38915,0.36033,94.84801,14.81159,100.77186,14.51902,70.51659,17.27202,0.38022,0.00985,0.38111,0.38628,0.39239,0.35752,0.01066,0.35961,0.36675,0.37058,71.69325,NA,NA,NA,NA,NA
2012-07-24,2012,206,69,missouriozarks_2012_07_24_120111.jpg,109.07197,119.80169,86.61833,0.37973,0.34572,97.58976,8.97459,102.50278,10.63040,69.54665,13.29053,0.38084,0.00704,0.38025,0.38710,0.39071,0.36318,0.01378,0.36904,0.37506,0.37833,70.88913,NA,NA,NA,NA,NA
2012-07-27,2012,209,70,missouriozarks_2012_07_27_120111.jpg,88.93486,92.97771,54.56217,0.39318,0.37609,93.66439,7.87104,98.85169,9.13545,66.95939,11.85480,0.38162,0.00797,0.38229,0.38572,0.39210,0.36196,0.01185,0.36221,0.37269,0.37609,70.24098,NA,NA,NA,NA,NA
2012-07-30,2012,212,68,missouriozarks_2012_07_30_120111.jpg,90.06930,97.56658,66.85167,0.38338,0.35392,93.86910,11.97900,100.01974,12.18468,69.12399,15.35071,0.38135,0.00897,0.38214,0.38754,0.39258,0.35797,0.01582,0.35985,0.37258,0.37642,69.54911,NA,NA,NA,NA,NA
2012-08-02,2012,215,68,missouriozarks_2012_08_02_113110.jpg,90.85670,99.15218,67.23918,0.38543,0.35319,93.52233,8.44776,99.40621,9.46890,69.13798,11.51910,0.37984,0.00581,0.38071,0.38359,0.38576,0.35770,0.01227,0.35459,0.36768,0.37513,68.81621,NA,NA,NA,NA,NA
2012-08-05,2012,218,59,missouriozarks_2012_08_05_120109.jpg,86.15611,90.57475,54.93441,0.39097,0.37190,92.03756,7.14607,97.50909,8.23645,65.79024,9.97789,0.38233,0.00618,0.38230,0.38514,0.39112,0.36119,0.01085,0.36209,0.37016,0.37334,68.03967,NA,NA,NA,NA,NA
2012-08-08,2012,221,40,missouriozarks_2012_08_08_120108.jpg,87.57461,92.57058,57.76395,0.38910,0.36810,93.77311,9.41040,98.17544,10.59207,66.22780,12.72039,0.38087,0.00696,0.38125,0.38532,0.38911,0.36432,0.01517,0.36482,0.37347,0.38448,66.94514,NA,NA,NA,NA,NA
2012-08-11,2012,224,70,missouriozarks_2012_08_11_120110.jpg,86.91056,89.34232,53.06753,0.38960,0.37899,90.76791,7.95442,95.32822,8.27796,64.42173,10.04844,0.38097,0.00591,0.38004,0.38461,0.38942,0.36306,0.01641,0.36149,0.37856,0.38188,66.37319,NA,NA,NA,NA,NA
2012-08-14,2012,227,72,missouriozarks_2012_08_14_120109.jpg,91.81987,95.05607,60.64356,0.38403,0.37096,93.91627,8.91260,98.61615,8.82426,68.26834,10.45771,0.37852,0.00673,0.37928,0.38224,0.38510,0.36061,0.01522,0.36369,0.37060,0.37902,65.48476,NA,NA,NA,NA,NA
2012-08-17,2012,230,67,missouriozarks_2012_08_17_120110.jpg,88.11835,90.76740,55.15188,0.38783,0.37651,92.44519,8.62154,94.50084,9.16364,61.71785,10.05584,0.38052,0.00591,0.38018,0.38439,0.38904,0.37249,0.01118,0.37394,0.38177,0.38433,64.56303,NA,NA,NA,NA,NA
2012-08-20,2012,233,65,missouriozarks_2012_08_20_120112.jpg,99.25383,100.89293,62.46278,0.38419,0.37795,93.85653,10.09607,96.03749,9.99464,63.84319,11.29167,0.37905,0.00643,0.37852,0.38379,0.38770,0.37063,0.01634,0.37250,0.38335,0.38822,63.60818,NA,NA,NA,NA,NA
2012-08-23,2012,236,66,missouriozarks_2012_08_23_120112.jpg,92.42270,92.00503,54.23140,0.38551,0.38726,96.68438,8.82616,97.01640,8.50740,63.54269,9.79310,0.37758,0.00594,0.37688,0.38196,0.38539,0.37638,0.01437,0.37663,0.38859,0.39416,62.62414,NA,NA,NA,NA,NA
2012-08-26,2012,239,65,missouriozarks_2012_08_26_120110.jpg,100.76673,103.63433,72.31984,0.37451,0.36415,100.77876,8.45911,100.62025,9.48339,67.39370,12.03759,0.37476,0.00555,0.37493,0.37851,0.38113,0.37605,0.01781,0.37676,0.39420,0.39986,61.61171,NA,NA,NA,NA,NA
2012-08-29,2012,242,61,missouriozarks_2012_08_29_120112.jpg,98.47795,93.14636,54.70907,0.37813,0.39978,103.27082,6.99806,97.91444,7.56342,63.11839,10.04134,0.37089,0.00620,0.37048,0.37615,0.37935,0.39157,0.01215,0.39649,0.40097,0.40428,60.57417,NA,NA,NA,NA,NA
2012-09-01,2012,245,64,missouriozarks_2012_09_01_120108.jpg,125.65713,130.44116,110.41563,0.35590,0.34284,104.60333,11.65601,107.98813,14.33264,85.25871,19.77392,0.36350,0.00793,0.36316,0.37015,0.37290,0.35335,0.01841,0.35191,0.36752,0.37625,59.51203,NA,NA,NA,NA,NA
2012-09-04,2012,248,61,missouriozarks_2012_09_04_120110.jpg,96.13122,94.95095,57.01139,0.38272,0.38748,97.65777,9.59472,97.18553,10.61679,65.24224,13.67514,0.37426,0.01112,0.37516,0.38272,0.38487,0.37667,0.01641,0.38347,0.38890,0.39183,58.42944,NA,NA,NA,NA,NA
2012-09-07,2012,251,63,missouriozarks_2012_09_07_113110.jpg,93.93423,95.08328,57.56911,0.38560,0.38094,95.23578,7.88632,97.12097,8.61904,65.67489,11.83978,0.37705,0.00816,0.37648,0.38342,0.38660,0.37009,0.01390,0.37147,0.38083,0.38495,56.88721,NA,NA,NA,NA,NA
2012-09-10,2012,254,57,missouriozarks_2012_09_10_120111.jpg,90.66645,90.48852,55.31290,0.38267,0.38342,96.00464,7.33633,96.10340,8.30142,63.36031,10.19975,0.37666,0.00539,0.37553,0.38168,0.38402,0.37664,0.01013,0.38051,0.38463,0.38694,56.20626,NA,NA,NA,NA,NA
2012-09-13,2012,257,63,missouriozarks_2012_09_13_120109.jpg,82.11556,86.44371,59.90537,0.37837,0.35942,96.15738,7.40773,98.89896,7.43371,68.81799,9.87967,0.37515,0.00551,0.37513,0.38027,0.38238,0.36497,0.01564,0.36449,0.37752,0.38684,55.07154,NA,NA,NA,NA,NA
2012-09-16,2012,260,57,missouriozarks_2012_09_16_120109.jpg,95.68224,100.01937,70.31420,0.37599,0.35969,99.26104,13.48125,102.43555,15.39492,73.04403,20.94580,0.37420,0.00794,0.37651,0.37799,0.37961,0.36349,0.01558,0.36327,0.37061,0.38331,53.92430,NA,NA,NA,NA,NA
2012-09-19,2012,263,58,missouriozarks_2012_09_19_120110.jpg,93.69441,91.67779,55.80976,0.38012,0.38848,97.53166,8.25282,96.07934,8.73622,62.61334,9.37685,0.37537,0.00434,0.37471,0.37918,0.38112,0.38132,0.00917,0.38262,0.38830,0.39307,52.76765,NA,NA,NA,NA,NA
2012-09-22,2012,266,60,missouriozarks_2012_09_22_120109.jpg,92.39119,90.17544,55.51709,0.37876,0.38806,101.74120,7.34160,98.57054,6.98272,63.78367,7.18656,0.37348,0.00388,0.37236,0.37757,0.37894,0.38553,0.00820,0.38771,0.39182,0.39545,51.60424,NA,NA,NA,NA,NA
2012-09-25,2012,269,61,missouriozarks_2012_09_25_120107.jpg,80.71273,80.41342,56.49968,0.36950,0.37088,103.73960,7.26614,101.69674,7.85724,66.78428,8.72603,0.37369,0.00471,0.37335,0.37802,0.38065,0.38167,0.01494,0.38086,0.39313,0.40271,50.43681,NA,NA,NA,NA,NA
2012-09-28,2012,272,56,missouriozarks_2012_09_28_120109.jpg,101.71321,95.70536,55.31399,0.37868,0.40245,103.67581,7.45615,101.95511,8.68773,69.11763,12.38552,0.37145,0.00516,0.37147,0.37560,0.37728,0.37852,0.01878,0.38250,0.39381,0.40162,49.26812,NA,NA,NA,NA,NA
2012-10-01,2012,275,56,missouriozarks_2012_10_01_120110.jpg,96.38442,89.70034,51.93219,0.37687,0.40495,103.91197,5.81970,98.48140,6.72374,64.05557,9.31248,0.36984,0.00390,0.37028,0.37292,0.37450,0.39079,0.01487,0.39233,0.40370,0.40611,48.10103,NA,NA,NA,NA,NA
2012-10-04,2012,278,52,missouriozarks_2012_10_04_120110.jpg,105.06781,101.58015,70.86527,0.36604,0.37860,104.85379,8.21120,98.86181,7.55154,66.95266,6.66139,0.36527,0.00432,0.36609,0.36774,0.36924,0.38749,0.01042,0.38680,0.39210,0.40224,46.85745,NA,NA,NA,NA,NA
2012-10-07,2012,281,55,missouriozarks_2012_10_07_120109.jpg,102.99552,91.44404,57.15646,0.36346,0.40937,109.41801,6.25490,98.70505,5.41480,65.46362,6.32093,0.36090,0.00257,0.36051,0.36296,0.36399,0.40017,0.01119,0.39833,0.41018,0.41431,45.78182,NA,NA,NA,NA,NA
2012-10-10,2012,284,55,missouriozarks_2012_10_10_120109.jpg,112.68876,93.99638,57.11081,0.35632,0.42718,115.55054,8.58065,99.26153,7.30289,64.15751,6.46634,0.35586,0.00296,0.35524,0.35773,0.36024,0.41433,0.01110,0.41553,0.42232,0.42718,44.63544,NA,NA,NA,NA,NA
2012-10-13,2012,287,55,missouriozarks_2012_10_13_120923.jpg,131.80257,101.73647,72.91314,0.33198,0.43009,134.30600,14.46853,101.93849,9.64960,69.38256,15.55074,0.33389,0.01028,0.33585,0.34492,0.34585,0.44045,0.03489,0.43595,0.46552,0.48869,43.50214,NA,NA,NA,NA,NA
2012-10-16,2012,290,55,missouriozarks_2012_10_16_120110.jpg,135.77112,86.38180,55.77037,0.31081,0.48852,143.61263,11.24821,100.50002,13.15656,74.63481,21.52541,0.31480,0.00528,0.31319,0.31606,0.32372,0.45440,0.04539,0.47385,0.48748,0.49574,42.28180,NA,NA,NA,NA,NA
2012-10-19,2012,293,52,missouriozarks_2012_10_19_120109.jpg,127.29964,88.42309,72.40833,0.30688,0.44181,125.37982,9.16016,84.17421,6.63927,64.90922,6.24967,0.30664,0.00236,0.30637,0.30730,0.31003,0.45704,0.01041,0.45787,0.46419,0.46845,41.28711,NA,NA,NA,NA,NA
2012-10-22,2012,296,50,missouriozarks_2012_10_22_120108.jpg,121.21347,87.45026,70.22772,0.31356,0.43463,124.61037,11.63449,92.42226,10.59897,75.91497,13.37411,0.31521,0.00432,0.31509,0.31686,0.32203,0.42661,0.02613,0.43073,0.44182,0.45206,40.21160,NA,NA,NA,NA,NA
2012-10-25,2012,299,53,missouriozarks_2012_10_25_120109.jpg,115.97367,100.57803,89.97409,0.32812,0.37835,122.94578,8.28652,100.68414,7.11508,85.02552,7.96190,0.32613,0.00235,0.32643,0.32749,0.32809,0.39858,0.01468,0.40231,0.40943,0.41406,39.16193,NA,NA,NA,NA,NA
2012-10-28,2012,302,49,missouriozarks_2012_10_28_120109.jpg,121.41014,99.66608,83.92318,0.32677,0.39807,119.71998,7.62492,99.88870,5.99286,85.92015,6.29308,0.32690,0.00112,0.32699,0.32734,0.32828,0.39188,0.01138,0.39023,0.40011,0.40489,38.14130,NA,NA,NA,NA,NA
2012-10-31,2012,305,50,missouriozarks_2012_10_31_120923.jpg,118.28079,98.15684,81.96281,0.32894,0.39638,121.55733,5.82731,102.17221,4.74815,86.30847,6.40341,0.32954,0.00123,0.32961,0.33023,0.33083,0.39223,0.01242,0.39306,0.40013,0.40252,37.15175,NA,NA,NA,NA,NA
2012-11-03,2012,308,49,missouriozarks_2012_11_03_120110.jpg,132.31573,109.24352,90.19244,0.32929,0.39884,124.30487,8.90633,105.27934,7.47318,89.67231,8.35864,0.32972,0.00147,0.32956,0.33051,0.33104,0.38953,0.01454,0.39187,0.39827,0.40113,36.19718,NA,NA,NA,NA,NA
2012-11-06,2012,311,50,missouriozarks_2012_11_06_120108.jpg,117.95797,110.13299,107.37414,0.32830,0.35163,122.12795,12.36750,111.78132,12.50475,106.03993,17.21062,0.32862,0.00251,0.32853,0.33016,0.33226,0.36052,0.02724,0.35257,0.38166,0.39361,35.28059,NA,NA,NA,NA,NA
2012-11-09,2012,314,44,missouriozarks_2012_11_09_113119.jpg,116.15204,100.21142,87.10274,0.33022,0.38275,122.80850,6.56245,104.83905,4.05576,89.15131,4.54409,0.33093,0.00123,0.33096,0.33189,0.33229,0.38755,0.01141,0.38663,0.39307,0.40084,34.40425,NA,NA,NA,NA,NA
2012-11-12,2012,317,44,missouriozarks_2012_11_12_120111.jpg,117.56034,103.16919,90.37759,0.33162,0.37788,119.46536,7.81179,107.83131,8.84401,97.81537,12.24728,0.33160,0.00278,0.33171,0.33274,0.33384,0.36816,0.01795,0.37309,0.37961,0.38641,33.57188,NA,NA,NA,NA,NA
2012-11-15,2012,320,45,missouriozarks_2012_11_15_120109.jpg,119.53734,104.25241,89.87588,0.33237,0.38110,122.12714,7.97102,107.63169,5.68192,94.07483,4.95219,0.33233,0.00125,0.33242,0.33310,0.33374,0.37694,0.01080,0.37812,0.38206,0.38848,32.78565,NA,NA,NA,NA,NA
2012-11-18,2012,323,48,missouriozarks_2012_11_18_120110.jpg,117.64238,103.54434,90.18772,0.33254,0.37782,118.65089,8.30635,106.41842,5.88309,95.37083,9.08788,0.33209,0.00266,0.33242,0.33314,0.33403,0.37043,0.01908,0.37341,0.38090,0.38672,32.04913,NA,NA,NA,NA,NA
2012-11-21,2012,326,47,missouriozarks_2012_11_21_120110.jpg,122.15659,108.30396,95.78687,0.33197,0.37443,125.22220,11.57564,111.91382,13.37189,99.29824,16.42970,0.33257,0.00120,0.33251,0.33313,0.33413,0.37325,0.01747,0.37611,0.38318,0.39335,31.36430,NA,NA,NA,NA,NA
2012-11-24,2012,329,44,missouriozarks_2012_11_24_120109.jpg,110.94692,98.13008,87.70839,0.33064,0.37383,117.20777,7.64264,103.67929,5.36256,91.29366,4.68317,0.33207,0.00152,0.33218,0.33287,0.33372,0.37526,0.01107,0.37588,0.37898,0.38650,30.73425,NA,NA,NA,NA,NA
2012-11-27,2012,332,43,missouriozarks_2012_11_27_120923.jpg,113.04389,99.87911,88.46146,0.33140,0.37508,120.70596,10.07714,108.14044,6.36496,97.17681,7.21131,0.33165,0.00159,0.33216,0.33278,0.33329,0.36997,0.01802,0.37213,0.37873,0.38926,30.16118,NA,NA,NA,NA,NA
2012-11-30,2012,335,41,missouriozarks_2012_11_30_120111.jpg,121.97558,107.21848,93.08399,0.33269,0.37848,118.62298,8.11286,105.99682,4.65257,94.48594,6.79203,0.33215,0.00129,0.33241,0.33303,0.33366,0.37163,0.01777,0.37491,0.38200,0.38831,29.64690,NA,NA,NA,NA,NA
2012-12-03,2012,338,43,missouriozarks_2012_12_03_120110.jpg,106.34753,91.13437,77.61113,0.33129,0.38659,119.55091,10.31953,105.51895,7.96611,92.39975,7.36612,0.33230,0.00164,0.33278,0.33350,0.33405,0.37640,0.01384,0.37775,0.38564,0.39097,29.19339,NA,NA,NA,NA,NA
