longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-74.1581724922768,42.528491338428445,2015-01-01,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-02,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-03,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-04,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-05,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-06,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-07,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-08,1931.0,2888.0,1956.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-09,1935.0,2890.0,1957.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-10,1938.0,2892.0,1958.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-11,1942.0,2895.0,1958.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-12,1946.0,2898.0,1959.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-13,1951.0,2900.0,1960.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-14,1959.0,2910.0,1967.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-15,1968.0,2919.0,1973.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-16,1973.0,2922.0,1974.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-17,1978.0,2925.0,1975.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-18,1982.0,2928.0,1977.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-19,1987.0,2932.0,1978.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-20,1993.0,2935.0,1979.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-21,1998.0,2939.0,1980.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-22,1590.0,2240.0,1615.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-23,1598.0,2249.0,1619.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-24,1773.0,2450.0,1748.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-25,1796.0,2481.0,1767.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-26,1819.0,2512.0,1785.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-27,1842.0,2543.0,1802.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-28,1864.0,2574.0,1820.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-29,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-30,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-01-31,3246.0,3991.0,3254.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-01,3286.0,4019.0,3290.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-02,3327.0,4048.0,3326.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-03,3368.0,4077.0,3363.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-04,3410.0,4106.0,3400.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-05,3451.0,4135.0,3437.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-06,3493.0,4164.0,3475.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-07,3536.0,4193.0,3512.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-08,3538.0,4193.0,3507.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-09,3569.0,4265.0,3580.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-10,3551.0,4252.0,3554.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-11,3532.0,4238.0,3528.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-12,3514.0,4225.0,3502.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-13,3495.0,4211.0,3476.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-14,3477.0,4198.0,3450.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-15,3458.0,4185.0,3424.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-16,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-17,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-18,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-19,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-20,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-21,2815.0,3688.0,2599.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-22,2825.0,3694.0,2601.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-23,2835.0,3699.0,2603.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-24,2846.0,3705.0,2606.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-25,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-26,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-27,2882.0,3629.0,2657.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-02-28,2892.0,3636.0,2659.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-01,2897.0,3639.0,2663.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-02,2869.0,3627.0,2652.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-03,2876.0,3631.0,2655.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-04,2882.0,3635.0,2658.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-05,2820.0,3536.0,2533.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-06,2645.0,3370.0,2422.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-07,2646.0,3369.0,2417.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-08,2647.0,3368.0,2412.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-09,2561.0,3278.0,2356.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-10,2557.0,3272.0,2346.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-11,2553.0,3265.0,2336.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-12,2549.0,3258.0,2325.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-13,2545.0,3253.0,2321.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-14,2558.0,3263.0,2326.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-15,2434.0,3139.0,2196.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-16,2468.0,3181.0,2156.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-17,2480.0,3191.0,2158.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-18,2323.0,3024.0,1978.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-19,2337.0,3037.0,1982.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-20,2351.0,3049.0,1985.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-21,2291.0,3018.0,1966.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-22,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-23,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-24,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-25,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-26,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-27,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-28,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-29,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-30,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-03-31,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-01,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-02,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-03,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-04,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-05,678.0,1787.0,277.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-06,612.0,1818.0,297.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-07,613.0,1821.0,298.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-08,602.0,1802.0,295.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-09,618.0,1858.0,288.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-10,619.0,1863.0,289.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-11,621.0,1869.0,289.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-12,619.0,1864.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-13,619.0,1869.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-14,619.0,1872.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-15,619.0,1875.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-16,621.0,1880.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-17,622.0,1884.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-18,623.0,1897.0,281.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-19,624.0,1901.0,281.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-20,626.0,1907.0,282.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-21,591.0,1932.0,266.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-22,582.0,1910.0,262.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-23,576.0,1939.0,259.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-24,580.0,1984.0,244.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-25,574.0,1989.0,246.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-26,574.0,1994.0,246.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-27,575.0,2000.0,246.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-28,576.0,2089.0,263.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-29,575.0,2105.0,264.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-04-30,579.0,2091.0,271.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-01,581.0,2096.0,272.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-02,570.0,2173.0,271.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-03,572.0,2180.0,273.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-04,560.0,2125.0,264.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-05,561.0,2127.0,265.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-06,562.0,2127.0,265.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-07,516.0,2259.0,253.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-08,515.0,2226.0,249.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-09,505.0,2266.0,248.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-10,479.0,2460.0,235.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-11,474.0,2529.0,234.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-12,472.0,2544.0,233.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-13,471.0,2559.0,232.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-14,443.0,2610.0,221.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-15,438.0,2644.0,223.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-16,378.0,2981.0,198.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-17,378.0,2993.0,198.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-18,368.0,3061.0,195.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-19,367.0,3065.0,195.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-20,375.0,3118.0,188.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-21,374.0,3047.0,174.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-22,365.0,2952.0,194.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-23,345.0,3034.0,183.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-24,345.0,3031.0,183.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-25,344.0,3027.0,182.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-26,323.0,3317.0,176.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-27,306.0,3073.0,165.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-28,294.0,3142.0,165.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-29,295.0,3149.0,165.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-30,294.0,3164.0,160.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-05-31,295.0,3171.0,160.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-01,271.0,3177.0,145.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-02,271.0,3186.0,146.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-03,238.0,3333.0,120.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-04,238.0,3347.0,120.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-05,239.0,3351.0,120.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-06,245.0,3570.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-07,271.0,3555.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-08,270.0,3556.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-09,269.0,3558.0,121.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-10,306.0,3573.0,128.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-11,306.0,3574.0,128.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-12,276.0,3627.0,161.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-13,245.0,3608.0,124.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-14,245.0,3609.0,124.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-15,243.0,3626.0,127.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-16,243.0,3627.0,128.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-17,241.0,3652.0,133.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-18,241.0,3650.0,134.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-19,242.0,3594.0,140.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-20,242.0,3599.0,140.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-21,242.0,3605.0,140.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-22,242.0,3611.0,140.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-23,246.0,3651.0,157.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-24,245.0,3653.0,156.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-25,245.0,3652.0,156.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-26,239.0,3611.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-27,240.0,3609.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-28,240.0,3581.0,146.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-29,244.0,3586.0,145.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-06-30,244.0,3585.0,145.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-01,249.0,3662.0,149.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-02,250.0,3659.0,149.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-03,259.0,3607.0,147.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-04,260.0,3571.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-05,259.0,3570.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-06,259.0,3570.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-07,259.0,3570.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-08,259.0,3570.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-09,224.0,3763.0,121.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-10,223.0,3762.0,121.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-11,222.0,3761.0,120.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-12,209.0,3797.0,107.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-13,266.0,3608.0,116.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-14,284.0,3624.0,148.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-15,238.0,3283.0,129.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-16,252.0,3278.0,128.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-17,235.0,3024.0,106.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-18,235.0,3021.0,106.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-19,240.0,3211.0,125.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-20,240.0,3190.0,125.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-21,238.0,3184.0,124.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-22,237.0,2988.0,133.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-23,241.0,3193.0,128.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-24,237.0,2971.0,134.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-25,235.0,3223.0,131.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-26,247.0,3239.0,106.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-27,245.0,3236.0,111.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-28,246.0,3251.0,110.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-29,229.0,3226.0,113.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-30,215.0,3138.0,91.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-07-31,224.0,3222.0,100.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-01,248.0,3095.0,153.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-02,258.0,3068.0,136.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-03,244.0,3037.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-04,244.0,3034.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-05,244.0,3031.0,123.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-06,244.0,3028.0,123.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-07,247.0,2998.0,123.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-08,247.0,2995.0,123.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-09,245.0,2993.0,122.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-10,244.0,2990.0,121.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-11,237.0,2935.0,89.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-12,250.0,2960.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-13,250.0,2958.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-14,250.0,3017.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-15,249.0,3017.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-16,249.0,3018.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-17,365.0,3046.0,246.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-18,370.0,3048.0,251.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-19,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-20,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-21,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-22,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-23,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-24,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-25,,,,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-26,449.0,3017.0,327.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-27,444.0,3010.0,323.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-28,440.0,3004.0,320.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-29,269.0,2995.0,158.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-30,265.0,2976.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-08-31,259.0,2945.0,134.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-01,259.0,2943.0,134.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-02,256.0,2940.0,146.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-03,255.0,2939.0,145.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-04,254.0,2938.0,145.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-05,253.0,2937.0,144.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-06,252.0,2936.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-07,251.0,2933.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-08,235.0,2896.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-09,235.0,2888.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-10,232.0,2842.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-11,237.0,2866.0,139.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-12,238.0,2838.0,136.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-13,236.0,2846.0,132.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-14,236.0,2818.0,131.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-15,234.0,2784.0,130.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-16,238.0,2767.0,133.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-17,246.0,2770.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-18,247.0,2756.0,144.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-19,246.0,2753.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-20,243.0,2741.0,141.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-21,242.0,2738.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-22,242.0,2735.0,142.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-23,242.0,2732.0,143.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-24,250.0,2737.0,149.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-25,250.0,2726.0,149.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-26,261.0,2722.0,157.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-27,255.0,2719.0,152.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-28,278.0,2651.0,166.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-29,277.0,2614.0,163.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-09-30,277.0,2618.0,160.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-10-01,303.0,2630.0,161.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-10-02,311.0,2700.0,171.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-10-03,333.0,2509.0,155.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-10-04,398.0,2555.0,172.0,MODIS/006/MCD43A4
-74.1581724922768,42.528491338428445,2015-10-05,416.0,2431.0,166.0,MODIS/006/MCD43A4
