longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-122.2225317690918,37.40360264252658,2012-01-01,478.0,1475.0,290.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-02,482.0,1474.0,294.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-03,474.0,1447.0,282.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-04,469.0,1443.0,280.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-05,459.0,1420.0,277.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-06,461.0,1421.0,278.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-07,456.0,1413.0,277.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-08,456.0,1413.0,277.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-09,458.0,1417.0,279.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-10,456.0,1414.0,277.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-11,455.0,1418.0,278.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-12,445.0,1403.0,272.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-13,445.0,1404.0,272.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-14,456.0,1417.0,279.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-15,456.0,1418.0,279.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-16,450.0,1406.0,278.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-17,450.0,1414.0,278.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-18,439.0,1413.0,271.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-19,435.0,1415.0,270.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-20,443.0,1432.0,275.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-21,446.0,1456.0,273.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-22,444.0,1451.0,272.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-23,449.0,1463.0,270.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-24,449.0,1465.0,270.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-25,438.0,1462.0,263.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-26,440.0,1469.0,273.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-27,440.0,1481.0,273.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-28,452.0,1488.0,287.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-29,457.0,1502.0,290.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-30,458.0,1503.0,292.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-01-31,459.0,1505.0,293.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-01,495.0,1572.0,309.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-02,493.0,1572.0,308.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-03,501.0,1579.0,311.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-04,502.0,1581.0,312.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-05,510.0,1601.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-06,530.0,1650.0,330.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-07,530.0,1644.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-08,500.0,1617.0,314.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-09,503.0,1616.0,313.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-10,495.0,1621.0,306.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-11,502.0,1642.0,309.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-12,509.0,1651.0,312.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-13,512.0,1672.0,309.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-14,513.0,1678.0,310.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-15,504.0,1684.0,301.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-16,505.0,1693.0,300.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-17,490.0,1679.0,290.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-18,495.0,1684.0,293.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-19,496.0,1688.0,294.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-20,489.0,1689.0,292.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-21,484.0,1683.0,287.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-22,485.0,1686.0,287.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-23,485.0,1687.0,289.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-24,489.0,1707.0,294.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-25,488.0,1717.0,293.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-26,489.0,1728.0,294.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-27,486.0,1727.0,294.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-28,489.0,1729.0,297.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-02-29,492.0,1735.0,298.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-01,492.0,1743.0,298.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-02,496.0,1763.0,303.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-03,498.0,1765.0,305.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-04,497.0,1774.0,305.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-05,503.0,1775.0,308.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-06,505.0,1779.0,309.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-07,512.0,1791.0,313.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-08,514.0,1795.0,315.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-09,516.0,1799.0,316.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-10,518.0,1801.0,317.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-11,524.0,1817.0,320.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-12,526.0,1818.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-13,534.0,1826.0,329.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-14,538.0,1851.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-15,523.0,1854.0,318.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-16,531.0,1912.0,320.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-17,539.0,1936.0,324.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-18,541.0,1953.0,322.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-19,542.0,1957.0,324.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-20,544.0,1963.0,325.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-21,540.0,1994.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-22,541.0,2000.0,324.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-23,543.0,2006.0,325.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-24,544.0,2011.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-25,515.0,2016.0,308.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-26,515.0,2021.0,309.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-27,516.0,2025.0,310.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-28,514.0,2020.0,305.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-29,515.0,2022.0,306.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-30,525.0,2027.0,319.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-03-31,540.0,2041.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-01,537.0,2048.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-02,540.0,2051.0,328.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-03,543.0,2054.0,330.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-04,546.0,2057.0,332.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-05,549.0,2060.0,334.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-06,552.0,2067.0,336.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-07,554.0,2074.0,334.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-08,553.0,2084.0,333.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-09,532.0,2089.0,318.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-10,604.0,2126.0,341.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-11,605.0,2127.0,375.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-12,530.0,2147.0,318.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-13,538.0,2192.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-14,537.0,2197.0,319.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-15,528.0,2211.0,311.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-16,517.0,2207.0,305.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-17,519.0,2211.0,306.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-18,520.0,2215.0,307.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-19,523.0,2237.0,307.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-20,522.0,2245.0,307.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-21,531.0,2238.0,311.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-22,531.0,2241.0,313.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-23,548.0,2262.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-24,548.0,2276.0,323.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-25,552.0,2290.0,326.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-26,555.0,2293.0,327.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-27,557.0,2293.0,328.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-28,566.0,2311.0,333.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-29,560.0,2312.0,331.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-04-30,557.0,2340.0,334.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-01,566.0,2356.0,338.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-02,592.0,2351.0,348.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-03,593.0,2346.0,350.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-04,594.0,2349.0,351.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-05,602.0,2339.0,355.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-06,610.0,2342.0,361.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-07,615.0,2362.0,365.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-08,631.0,2373.0,374.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-09,630.0,2388.0,373.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-10,624.0,2389.0,372.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-11,635.0,2399.0,378.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-12,641.0,2395.0,381.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-13,650.0,2405.0,384.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-14,669.0,2406.0,394.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-15,683.0,2416.0,393.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-16,710.0,2409.0,401.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-17,708.0,2425.0,404.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-18,701.0,2439.0,401.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-19,710.0,2451.0,404.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-20,711.0,2453.0,405.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-21,719.0,2461.0,410.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-22,730.0,2468.0,414.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-23,733.0,2469.0,416.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-24,749.0,2482.0,417.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-25,773.0,2481.0,427.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-26,781.0,2483.0,431.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-27,785.0,2496.0,429.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-28,791.0,2505.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-29,794.0,2502.0,436.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-30,796.0,2495.0,435.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-05-31,797.0,2502.0,439.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-01,801.0,2518.0,441.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-02,823.0,2497.0,441.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-03,817.0,2512.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-04,823.0,2496.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-05,828.0,2495.0,439.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-06,830.0,2495.0,441.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-07,830.0,2498.0,439.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-08,837.0,2490.0,440.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-09,845.0,2498.0,448.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-10,840.0,2514.0,448.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-11,845.0,2515.0,449.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-12,853.0,2499.0,453.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-13,855.0,2493.0,452.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-14,857.0,2496.0,453.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-15,862.0,2492.0,456.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-16,858.0,2480.0,452.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-17,858.0,2476.0,454.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-18,852.0,2487.0,455.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-19,876.0,2485.0,464.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-20,876.0,2494.0,463.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-21,882.0,2489.0,462.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-22,894.0,2480.0,466.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-23,902.0,2479.0,466.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-24,908.0,2487.0,469.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-25,911.0,2500.0,472.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-26,928.0,2482.0,469.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-27,954.0,2474.0,479.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-28,957.0,2487.0,485.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-29,968.0,2487.0,492.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-06-30,973.0,2491.0,497.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-01,977.0,2500.0,504.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-02,986.0,2496.0,511.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-03,972.0,2496.0,505.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-04,978.0,2487.0,507.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-05,969.0,2473.0,500.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-06,976.0,2462.0,507.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-07,975.0,2456.0,508.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-08,971.0,2451.0,507.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-09,966.0,2443.0,508.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-10,963.0,2441.0,507.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-11,956.0,2417.0,492.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-12,945.0,2415.0,490.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-13,946.0,2404.0,487.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-14,926.0,2399.0,474.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-15,921.0,2394.0,474.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-16,918.0,2388.0,471.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-17,910.0,2388.0,464.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-18,914.0,2409.0,472.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-19,932.0,2401.0,481.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-20,918.0,2401.0,477.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-21,916.0,2417.0,482.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-22,916.0,2413.0,479.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-23,914.0,2413.0,478.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-24,921.0,2407.0,481.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-25,927.0,2394.0,483.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-26,929.0,2379.0,486.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-27,920.0,2374.0,487.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-28,923.0,2362.0,489.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-29,904.0,2353.0,483.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-30,921.0,2334.0,489.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-07-31,921.0,2325.0,484.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-01,915.0,2313.0,479.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-02,923.0,2294.0,482.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-03,925.0,2265.0,476.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-04,902.0,2245.0,465.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-05,906.0,2223.0,469.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-06,912.0,2204.0,468.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-07,900.0,2187.0,468.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-08,899.0,2175.0,469.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-09,892.0,2162.0,466.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-10,891.0,2155.0,467.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-11,879.0,2144.0,462.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-12,875.0,2135.0,460.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-13,879.0,2128.0,463.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-14,912.0,2151.0,492.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-15,909.0,2146.0,493.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-16,908.0,2140.0,498.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-17,906.0,2134.0,501.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-18,900.0,2132.0,501.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-19,895.0,2131.0,497.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-20,900.0,2123.0,496.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-21,899.0,2117.0,489.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-22,889.0,2106.0,487.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-23,883.0,2100.0,482.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-24,876.0,2095.0,477.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-25,868.0,2089.0,474.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-26,862.0,2080.0,469.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-27,867.0,2074.0,470.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-28,867.0,2059.0,468.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-29,859.0,2057.0,463.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-30,823.0,2005.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-08-31,818.0,1998.0,429.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-01,812.0,1988.0,425.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-02,812.0,1977.0,422.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-03,805.0,1961.0,415.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-04,800.0,1959.0,419.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-05,795.0,1950.0,423.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-06,798.0,1949.0,435.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-07,803.0,1945.0,439.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-08,806.0,1937.0,438.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-09,801.0,1925.0,436.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-10,801.0,1909.0,437.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-11,795.0,1903.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-12,791.0,1893.0,433.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-13,798.0,1899.0,436.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-14,794.0,1894.0,434.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-15,802.0,1888.0,437.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-16,801.0,1879.0,439.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-17,802.0,1865.0,442.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-18,799.0,1857.0,445.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-19,805.0,1851.0,456.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-20,803.0,1846.0,452.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-21,803.0,1837.0,450.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-22,797.0,1815.0,444.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-23,772.0,1802.0,433.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-24,780.0,1794.0,437.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-25,778.0,1791.0,438.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-26,777.0,1779.0,441.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-27,775.0,1767.0,440.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-28,769.0,1752.0,438.0,MODIS/006/MCD43A4
-122.2225317690918,37.40360264252658,2012-09-29,765.0,1759.0,445.0,MODIS/006/MCD43A4
