longitude,latitude,date,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,product
-110.73757086162372,43.48968869243634,2015-01-01,7051.0,6972.0,6836.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-02,6836.0,6739.0,6697.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-03,6849.0,6753.0,6714.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-04,6849.0,6755.0,6718.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-05,6906.0,6822.0,6664.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-06,6883.0,6686.0,6496.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-07,6882.0,6683.0,6493.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-08,6848.0,6629.0,6462.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-09,6810.0,6542.0,6416.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-10,7127.0,6813.0,6705.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-11,7120.0,6806.0,6698.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-12,6977.0,6622.0,6490.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-13,6977.0,6623.0,6494.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-14,6654.0,6374.0,6251.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-15,6647.0,6374.0,6257.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-16,6648.0,6381.0,6270.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-17,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-18,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-19,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-20,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-21,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-22,4397.0,4523.0,4255.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-23,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-24,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-25,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-26,4058.0,4038.0,3933.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-27,4044.0,4025.0,3923.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-28,4030.0,4013.0,3914.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-29,4039.0,4022.0,3921.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-30,3778.0,3772.0,3683.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-01-31,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-01,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-02,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-03,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-04,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-05,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-06,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-07,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-08,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-09,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-10,1087.0,1897.0,665.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-11,1154.0,1885.0,669.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-12,1159.0,1890.0,673.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-13,1163.0,1895.0,677.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-14,1167.0,1899.0,675.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-15,1171.0,1903.0,674.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-16,1175.0,1908.0,673.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-17,1179.0,1912.0,671.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-18,1186.0,1916.0,674.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-19,1190.0,1921.0,677.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-20,1193.0,1926.0,680.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-21,1197.0,1931.0,683.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-22,1201.0,1920.0,860.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-23,1205.0,1925.0,862.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-24,1208.0,1929.0,865.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-25,7585.0,7859.0,7381.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-26,7585.0,7862.0,7387.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-27,7585.0,7866.0,7394.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-02-28,7586.0,7870.0,7402.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-01,7586.0,7874.0,7410.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-02,7586.0,7878.0,7418.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-03,7586.0,7882.0,7426.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-04,7546.0,7853.0,7405.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-05,7550.0,7860.0,7416.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-06,7553.0,7867.0,7428.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-07,7556.0,7874.0,7439.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-08,7560.0,7881.0,7451.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-09,7563.0,7888.0,7462.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-10,7566.0,7896.0,7474.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-11,7569.0,7903.0,7485.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-12,989.0,1876.0,539.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-13,1061.0,1930.0,662.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-14,1066.0,1938.0,666.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-15,1071.0,1947.0,669.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-16,1077.0,1955.0,673.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-17,1082.0,1963.0,677.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-18,1087.0,1972.0,681.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-19,1092.0,1980.0,684.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-20,1118.0,2036.0,632.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-21,1138.0,2089.0,645.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-22,1145.0,2107.0,648.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-23,1112.0,2088.0,642.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-24,1119.0,2098.0,648.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-25,1127.0,2109.0,654.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-26,1135.0,2120.0,661.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-27,1142.0,2131.0,667.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-28,1158.0,2173.0,676.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-29,1160.0,2204.0,673.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-30,1166.0,2210.0,679.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-03-31,1173.0,2217.0,685.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-01,1179.0,2223.0,690.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-02,1185.0,2230.0,696.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-03,1191.0,2237.0,701.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-04,1197.0,2243.0,707.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-05,1209.0,2270.0,723.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-06,1143.0,2212.0,685.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-07,1132.0,2213.0,652.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-08,1064.0,2169.0,637.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-09,1113.0,2234.0,684.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-10,1061.0,2142.0,644.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-11,1062.0,2141.0,645.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-12,1067.0,2147.0,650.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-13,936.0,2036.0,550.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-14,935.0,2036.0,548.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-15,1001.0,2104.0,599.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-16,1002.0,2105.0,600.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-17,1003.0,2106.0,600.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-18,1003.0,2107.0,602.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-19,1004.0,2110.0,603.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-20,999.0,2210.0,592.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-21,1017.0,2285.0,590.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-22,1014.0,2487.0,581.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-23,1003.0,2494.0,572.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-24,1002.0,2553.0,571.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-25,997.0,2584.0,569.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-26,1022.0,2561.0,569.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-27,997.0,2598.0,559.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-28,1000.0,2601.0,561.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-29,1033.0,2779.0,568.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-04-30,1034.0,2774.0,569.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-01,994.0,2788.0,542.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-02,995.0,2783.0,543.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-03,996.0,2779.0,544.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-04,972.0,2737.0,533.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-05,974.0,2739.0,534.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-06,959.0,2663.0,540.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-07,966.0,2676.0,545.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-08,929.0,2582.0,522.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-09,922.0,2637.0,521.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-10,859.0,2458.0,477.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-11,860.0,2462.0,477.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-12,862.0,2463.0,479.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-13,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-14,723.0,2892.0,432.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-15,723.0,2900.0,432.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-16,722.0,2908.0,433.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-17,722.0,2916.0,433.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-18,721.0,2923.0,433.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-19,721.0,2931.0,433.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-20,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-21,,,,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-22,454.0,3372.0,260.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-23,627.0,3398.0,386.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-24,630.0,3265.0,378.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-25,630.0,3269.0,378.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-26,630.0,3273.0,378.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-27,630.0,3277.0,378.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-28,625.0,3254.0,357.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-29,626.0,3257.0,357.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-30,657.0,3282.0,345.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-05-31,600.0,3287.0,330.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-01,622.0,3252.0,328.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-02,547.0,3251.0,311.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-03,562.0,3316.0,311.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-04,525.0,3380.0,300.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-05,555.0,3447.0,297.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-06,550.0,3413.0,296.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-07,575.0,3316.0,322.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-08,586.0,3329.0,328.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-09,545.0,3579.0,304.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-10,521.0,3673.0,291.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-11,515.0,3722.0,286.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-12,554.0,3617.0,307.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-13,564.0,3589.0,292.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-14,565.0,3588.0,293.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-15,534.0,3603.0,296.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-16,562.0,3594.0,314.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-17,566.0,3594.0,337.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-18,553.0,3656.0,335.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-19,571.0,3631.0,343.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-20,589.0,3585.0,352.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-21,629.0,3495.0,363.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-22,625.0,3511.0,360.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-23,616.0,3573.0,351.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-24,617.0,3549.0,351.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-25,623.0,3533.0,354.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-26,647.0,3467.0,366.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-27,667.0,3439.0,366.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-28,648.0,3500.0,356.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-29,648.0,3517.0,364.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-06-30,671.0,3452.0,366.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-01,664.0,3436.0,361.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-02,656.0,3453.0,354.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-03,658.0,3390.0,357.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-04,662.0,3362.0,359.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-05,659.0,3272.0,355.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-06,660.0,3213.0,354.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-07,689.0,3229.0,361.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-08,706.0,3275.0,372.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-09,726.0,3113.0,388.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-10,720.0,3135.0,379.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-11,757.0,3006.0,399.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-12,781.0,2944.0,414.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-13,804.0,2941.0,424.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-14,756.0,3029.0,402.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-15,734.0,3102.0,397.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-16,725.0,3104.0,390.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-17,712.0,3052.0,379.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-18,715.0,2929.0,382.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-19,730.0,3043.0,394.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-20,727.0,3045.0,393.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-21,721.0,3082.0,400.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-22,718.0,3060.0,404.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-23,694.0,3028.0,396.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-24,691.0,3044.0,396.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-25,705.0,3007.0,403.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-26,702.0,3011.0,407.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-27,701.0,3004.0,407.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-28,699.0,2998.0,406.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-29,710.0,2971.0,410.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-30,725.0,2916.0,417.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-07-31,735.0,2858.0,422.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-01,727.0,2796.0,423.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-02,725.0,2806.0,426.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-03,737.0,2794.0,432.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-04,738.0,2697.0,430.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-05,733.0,2664.0,429.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-06,774.0,2569.0,436.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-07,782.0,2619.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-08,836.0,2398.0,472.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-09,812.0,2339.0,459.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-10,820.0,2403.0,454.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-11,819.0,2397.0,453.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-12,804.0,2403.0,443.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-13,802.0,2398.0,441.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-14,786.0,2327.0,434.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-15,797.0,2314.0,443.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-16,792.0,2359.0,436.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-17,793.0,2381.0,436.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-18,785.0,2367.0,429.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-19,789.0,2383.0,431.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-20,789.0,2404.0,430.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-21,798.0,2423.0,434.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-22,784.0,2434.0,424.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-23,785.0,2434.0,424.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-24,785.0,2446.0,427.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-25,790.0,2472.0,432.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-26,808.0,2413.0,439.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-27,807.0,2408.0,439.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-28,832.0,2476.0,447.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-29,830.0,2463.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-30,836.0,2450.0,446.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-08-31,842.0,2410.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-01,835.0,2376.0,447.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-02,826.0,2297.0,443.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-03,838.0,2345.0,451.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-04,836.0,2305.0,452.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-05,834.0,2277.0,452.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-06,833.0,2235.0,451.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-07,830.0,2227.0,449.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-08,827.0,2221.0,447.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-09,826.0,2216.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-10,824.0,2194.0,442.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-11,828.0,2204.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-12,825.0,2194.0,443.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-13,833.0,2101.0,437.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-14,857.0,2100.0,444.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-15,884.0,2166.0,450.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-16,890.0,2152.0,453.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-17,889.0,2153.0,451.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-18,938.0,2238.0,470.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-19,918.0,2187.0,464.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-20,918.0,2184.0,461.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-21,923.0,2215.0,458.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-22,914.0,2186.0,461.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-23,908.0,2163.0,461.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-24,907.0,2168.0,460.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-25,902.0,2161.0,458.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-26,897.0,2153.0,457.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-27,888.0,2129.0,451.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-28,891.0,2142.0,452.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-29,886.0,2108.0,462.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-09-30,877.0,2068.0,465.0,MODIS/006/MCD43A4
-110.73757086162372,43.48968869243634,2015-10-01,869.0,2026.0,468.0,MODIS/006/MCD43A4
